rank,experiment_id,embedding_model,classifier_type,overlap_proportion,param_details,val_f1,val_precision,val_recall,val_accuracy,runtime_sec,status
75,78,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=32, epochs=50",0.9174,0.8475,1.0000,0.9400,19.40,success
76,79,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=32, epochs=100",0.9174,0.8475,1.0000,0.9400,20.37,success
77,80,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=32, epochs=200",0.9174,0.8475,1.0000,0.9400,22.73,success
78,81,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=32, epochs=500",0.9174,0.8475,1.0000,0.9400,27.86,success
79,82,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=64, epochs=50",0.9174,0.8475,1.0000,0.9400,18.94,success
80,83,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=64, epochs=100",0.9174,0.8475,1.0000,0.9400,19.49,success
81,84,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=64, epochs=200",0.9174,0.8475,1.0000,0.9400,20.73,success
82,85,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.005, batch_size=64, epochs=500",0.9174,0.8475,1.0000,0.9400,23.18,success
83,10,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.5,"learning_rate=0.001, batch_size=32, epochs=100",0.9126,0.8868,0.9400,0.9400,22.80,success
84,2,microsoft/codebert-base,neural_network_binary_classifier,0.25,"learning_rate=0.001, batch_size=32, epochs=100",0.9057,0.8571,0.9600,0.9333,43.64,success
85,4,Salesforce/codet5-small,neural_network_binary_classifier,0.25,"learning_rate=0.001, batch_size=32, epochs=100",0.8932,0.8679,0.9200,0.9267,37.39,success
